company,category,portal_type,url,total,angular,status,verdict,titles
Resilinc,main,generic,https://himalayas.app/companies/resilinc/jobs,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
Hospitable,main,generic,https://jobgether.com/company/hospitable,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
Citi,main,phenom,https://jobs.citi.com/search-jobs/Angular/India,0,0,phenom_api_unavailable,NEEDS_MANUAL_CHECK,[]
Deutsche Bank,main,generic,https://careers.db.com/professionals/search-roles/?keyword=Angular&country=India,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
Morgan Stanley,main,generic,https://www.morganstanley.com/careers/career-opportunities-search?keywords=Angular,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
BNY Mellon,main,eightfold,https://bny.eightfold.ai/careers?query=Angular&location=India,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
UBS,main,generic,https://jobs.ubs.com/search/?q=Angular&location=India,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
Societe Generale GSC,main,generic,https://careers.societegenerale.com/en/search-jobs?keyword=Angular&location=India,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
Wells Fargo,main,phenom,https://www.wellsfargojobs.com/en/jobs/?search=Angular&location=India,0,0,phenom_api_unavailable,NEEDS_MANUAL_CHECK,[]
HSBC Technology India,main,generic,https://mycareer.hsbc.com/en_GB/external/SearchJobs/?keyword=Angular&location=India,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
Barclays,main,phenom,https://search.jobs.barclays/search-jobs/Angular/India,0,0,phenom_api_unavailable,NEEDS_MANUAL_CHECK,[]
Fidelity Investments,main,phenom,https://jobs.fidelity.com/in/jobs/?search=Angular,0,0,phenom_api_unavailable,NEEDS_MANUAL_CHECK,[]
Broadridge,main,workday,https://broadridge.wd5.myworkdayjobs.com/en-US/Careers?q=Angular,0,0,api_303,NO_ANGULAR,[]
SS&C Technologies,main,generic,https://wd1.myworkdaysite.com/en-US/recruiting/ssctech/SSCTechnologies?q=Angular,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
Standard Chartered,main,phenom,https://jobs.standardchartered.com/search-jobs?k=Angular&l=India,0,0,phenom_api_unavailable,NEEDS_MANUAL_CHECK,[]
MetLife,main,generic,https://jobs.metlife.com/search-jobs/Angular/India,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
FedEx ACC India,main,phenom,https://careers.fedex.com/jobs?search=Angular&location=Hyderabad,0,0,phenom_api_unavailable,NEEDS_MANUAL_CHECK,[]
